Name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,Status,Finish,Maybeboard,Image URL,Image Back URL,Tags,Notes,MTGO ID
"Flametongue Kavu",4,"Creature - Kavu",R,"jmp","319",uncommon,r,"Not Owned",Non-foil,false,,"","Tectonic","",,
"Tectonic Giant",4,"Creature - Elemental Giant",R,"thb","158",rare,r,"Not Owned",Non-foil,false,,"","Tectonic","",79440,
"Seismic Elemental",5,"Creature - Elemental",R,"gnt","41",uncommon,r,"Not Owned",Non-foil,false,,"","Tectonic","",,
"Volcanic Dragon",6,"Creature - Dragon",R,"m12","158",uncommon,r,"Not Owned",Non-foil,false,,"","Tectonic","",41551,
"Magma Jet",2,"Instant",R,"jvc","52",uncommon,r,"Not Owned",Non-foil,false,,"","Tectonic","",,
"Volcanic Geyser",2,"Instant",R,"m14","160",uncommon,r,"Not Owned",Non-foil,false,,"","Tectonic","",49337,
"Seismic Stomp",2,"Sorcery",R,"ema","146",common,r,"Not Owned",Non-foil,false,,"","Tectonic","",60801,
"Volcanic Salvo",12,"Sorcery",R,"m21","172",rare,r,"Not Owned",Non-foil,false,,"","Tectonic","",81571,
"Claws of Valakut",3,"Enchantment - Aura",R,"ddg","72",common,r,"Not Owned",Non-foil,false,,"","Tectonic","",40224,
"Thriving Bluff",0,"Land",R,"jmp","33",common,l,"Not Owned",Non-foil,false,,"","Tectonic","",,
"Scythe Tiger",1,"Creature - Cat",G,"zen","183",common,g,"Not Owned",Non-foil,false,,"","Tilling Soil","",34422,
"Springbloom Druid",3,"Creature - Elf Druid",G,"mh1","181",common,g,"Not Owned",Non-foil,false,,"","Tilling Soil","",72734,
"Tilling Treefolk",3,"Creature - Treefolk Druid",G,"eve","78",common,g,"Not Owned",Non-foil,false,,"","Tilling Soil","",29976,
"Nantuko Cultivator",4,"Creature - Insect Druid",G,"mh1","173",uncommon,g,"Not Owned",Non-foil,false,,"","Tilling Soil","",72718,
"Pack Guardian",4,"Creature - Wolf Spirit",G,"soi","221",uncommon,g,"Not Owned",Non-foil,false,,"","Tilling Soil","",59848,
"Cavalier of Thorns",5,"Creature - Elemental Knight",G,"m20","167",mythic,g,"Not Owned",Non-foil,false,,"","Tilling Soil","",73233,
"Excavating Anurid",5,"Creature - Frog Beast",G,"mh1","163",common,g,"Not Owned",Non-foil,false,,"","Tilling Soil","",72698,
"Murasa Behemoth",6,"Creature - Beast",G,"mh1","172",common,g,"Not Owned",Non-foil,false,,"","Tilling Soil","",72716,
"Fork in the Road",2,"Sorcery",G,"soi","205",common,g,"Not Owned",Non-foil,false,,"","Tilling Soil","",60270,
"Winding Way",2,"Sorcery",G,"mh1","193",common,g,"Not Owned",Non-foil,false,,"","Tilling Soil","",72758,
"Ayula's Influence",3,"Enchantment",G,"mh1","156",rare,g,"Not Owned",Non-foil,false,,"","Tilling Soil","",72684,
"Crawling Sensation",3,"Enchantment",G,"soi","199",uncommon,g,"Not Owned",Non-foil,false,,"","Tilling Soil","",60172,
"Evolving Wilds",0,"Land",,"ddo","58",common,l,"Not Owned",Non-foil,false,,"","Tilling Soil","",,
"Thriving Grove",0,"Land",G,"jmp","34",common,l,"Not Owned",Non-foil,false,,"","Tilling Soil","",,
"Daybreak Charger",2,"Creature - Unicorn",W,"m21","14",common,w,"Not Owned",Non-foil,false,,"","Unicorns","",81255,
"Mesa Unicorn",2,"Creature - Unicorn",W,"dom","27",common,w,"Not Owned",Non-foil,false,,"","Unicorns","",67519,
"Ronom Unicorn",2,"Creature - Unicorn",W,"uma","33",common,w,"Not Owned",Non-foil,false,,"","Unicorns","",70139,
"Brightmare",3,"Creature - Unicorn",W,"jmp","2",uncommon,w,"Not Owned",Non-foil,false,,"","Unicorns","",,
"Opaline Unicorn",3,"Artifact Creature - Unicorn",,"cn2","213",common,c,"Not Owned",Non-foil,false,,"","Unicorns","",,
"Inspiring Unicorn",4,"Creature - Unicorn",W,"jmp","112",uncommon,w,"Not Owned",Non-foil,false,,"","Unicorns","",,
"Valorous Steed",5,"Creature - Unicorn",W,"m21","42",common,w,"Not Owned",Non-foil,false,,"","Unicorns","",81311,
"Cloudshift",1,"Instant",W,"avr","12",common,w,"Not Owned",Non-foil,false,,"","Unicorns","",43887,
"Divine Arrow",2,"Instant",W,"jmp","100",common,w,"Not Owned",Non-foil,false,,"","Unicorns","",,
"Faith's Fetters",4,"Enchantment - Aura",W,"uma","16",common,w,"Not Owned",Non-foil,false,,"","Unicorns","",70105,
"Blessed Sanctuary",5,"Enchantment",W,"jmp","1",rare,w,"Not Owned",Non-foil,false,,"","Unicorns","",,
"Emiel the Blessed",4,"Legendary Creature - Unicorn",WG,"jmp","3",mythic,m,"Not Owned",Non-foil,false,,"","Unicorns","",,
"Thriving Heath",0,"Land",W,"jmp","35",common,l,"Not Owned",Non-foil,false,,"","Unicorns","",,
"Vampire of the Dire Moon",1,"Creature - Vampire",B,"m20","120",uncommon,b,"Not Owned",Non-foil,false,,"","Vampires","",73139,
"Child of Night",2,"Creature - Vampire",B,"m19","89",common,b,"Not Owned",Non-foil,false,,"","Vampires","",68339,
"Cordial Vampire",2,"Creature - Vampire",B,"mh1","83",rare,b,"Not Owned",Non-foil,false,,"","Vampires","",72538,
"Bloodthirsty Aerialist",3,"Creature - Vampire Rogue",B,"m20","91",uncommon,b,"Not Owned",Non-foil,false,,"","Vampires","",73081,
"Marauding Blight-Priest",3,"Creature - Vampire Cleric",B,"znr","112",common,b,"Not Owned",Non-foil,false,,"","Vampires","",83191,
"Nocturnal Feeder",3,"Creature - Vampire Rogue",B,"jmp","16",common,b,"Not Owned",Non-foil,false,,"","Vampires","",,
"Vito, Thorn of the Dusk Rose",3,"Legendary Creature - Vampire Cleric",B,"m21","127",rare,b,"Not Owned",Non-foil,false,,"","Vampires","",81481,
"Blood Host",5,"Creature - Vampire",B,"m15","87",uncommon,b,"Not Owned",Non-foil,false,,"","Vampires","",53630,
"Scion of the Swarm",5,"Creature - Vampire Cleric",B,"znr","121",uncommon,b,"Not Owned",Non-foil,false,,"","Vampires","",83211,
"Urge to Feed",2,"Instant",B,"wwk","70",uncommon,b,"Not Owned",Non-foil,false,,"","Vampires","",35603,
"Agonizing Syphon",4,"Sorcery",B,"m20","83",common,b,"Not Owned",Non-foil,false,,"","Vampires","",73065,
"Eternal Thirst",2,"Enchantment - Aura",B,"ima","89",common,b,"Not Owned",Non-foil,false,,"","Vampires","",66057,
"Thriving Moor",0,"Land",B,"jmp","37",common,l,"Not Owned",Non-foil,false,,"","Vampires","",,
"Vampire Lacerator",1,"Creature - Vampire Warrior",B,"a25","114",common,b,"Not Owned",Non-foil,false,,"","Warriors","",67142,
"Blood-Chin Rager",2,"Creature - Human Warrior",B,"dtk","89",uncommon,b,"Not Owned",Non-foil,false,,"","Warriors","",56354,
"Hand of Silumgar",2,"Creature - Human Warrior",B,"dtk","105",common,b,"Not Owned",Non-foil,false,,"","Warriors","",56194,
"Mindblade Render",2,"Creature - Azra Warrior",B,"bbd","49",rare,b,"Not Owned",Non-foil,false,,"","Warriors","",68826,
"Blood-Chin Fanatic",3,"Creature - Orc Warrior",B,"dtk","88",rare,b,"Not Owned",Non-foil,false,,"","Warriors","",55958,
"Ogre Marauder",3,"Creature - Ogre Warrior",B,"bok","75",uncommon,b,"Not Owned",Non-foil,false,,"","Warriors","",21833,
"Thrasher Brute",4,"Creature - Orc Warrior",B,"bbd","52",uncommon,b,"Not Owned",Non-foil,false,,"","Warriors","",68832,
"Tithebearer Giant",6,"Creature - Giant Warrior",B,"war","107",common,b,"Not Owned",Non-foil,false,,"","Warriors","",71820,
"Supernatural Stamina",1,"Instant",B,"akh","111",common,b,"Not Owned",Non-foil,false,,"","Warriors","",63824,
"Murder",3,"Instant",B,"cn2","143",common,b,"Not Owned",Non-foil,false,,"","Warriors","",,
"Relic Axe",2,"Artifact - Equipment",,"znr","248",uncommon,c,"Not Owned",Non-foil,false,,"","Warriors","",83491,
"Raiders' Spoils",4,"Enchantment",B,"ktk","83",uncommon,b,"Not Owned",Non-foil,false,,"","Warriors","",54338,
"Thriving Moor",0,"Land",B,"jmp","37",common,l,"Not Owned",Non-foil,false,,"","Warriors","",,
"Fearless Fledgling",2,"Creature - Griffin",W,"znr","15",uncommon,w,"Not Owned",Non-foil,false,,"","White Landfall","",82967,
"Fledgling Griffin",2,"Creature - Griffin",W,"wwk","5",common,w,"Not Owned",Non-foil,false,,"","White Landfall","",35749,
"Kor Skyfisher",2,"Creature - Kor Soldier",W,"ddo","16",common,w,"Not Owned",Non-foil,false,,"","White Landfall","",,
"Ruin Ghost",2,"Creature - Spirit",W,"wwk","19",uncommon,w,"Not Owned",Non-foil,false,,"","White Landfall","",35765,
"Tazeem Raptor",3,"Creature - Bird",W,"znr","43",common,w,"Not Owned",Non-foil,false,,"","White Landfall","",83033,
"Prowling Felidar",4,"Creature - Cat Beast",W,"znr","34",common,w,"Not Owned",Non-foil,false,,"","White Landfall","",83011,
"Makindi Ox",5,"Creature - Ox",W,"znr","25",common,w,"Not Owned",Non-foil,false,,"","White Landfall","",82989,
"Admonition Angel",6,"Creature - Angel",W,"wwk","1",mythic,w,"Not Owned",Non-foil,false,,"","White Landfall","",35643,
"Pacifism",2,"Enchantment - Aura",W,"m11","23",common,w,"Not Owned",Non-foil,false,,"","White Landfall","",37096,
"Oblivion Ring",3,"Enchantment",W,"ddg","34",common,w,"Not Owned",Non-foil,false,,"","White Landfall","",40200,
"Felidar Retreat",4,"Enchantment",W,"znr","16",rare,w,"Not Owned",Non-foil,false,,"","White Landfall","",82969,
"Retreat to Emeria",4,"Enchantment",W,"bfz","44",uncommon,w,"Not Owned",Non-foil,false,,"","White Landfall","",58561,
"Evolving Wilds",0,"Land",,"ddo","58",common,l,"Not Owned",Non-foil,false,,"","White Landfall","",,
"Thriving Heath",0,"Land",W,"jmp","35",common,l,"Not Owned",Non-foil,false,,"","White Landfall","",,
"Elvish Visionary",2,"Creature - Elf Shaman",G,"ori","175",common,g,"Not Owned",Non-foil,false,,"","Wisdom","",57630,
"Jolrael, Mwonvuli Recluse",2,"Legendary Creature - Human Druid",G,"m21","191",rare,g,"Not Owned",Non-foil,false,,"","Wisdom","",81609,
"Wall of Blossoms",2,"Creature - Plant Wall",G,"pca","81",uncommon,g,"Not Owned",Non-foil,false,,"","Wisdom","",,
"Llanowar Visionary",3,"Creature - Elf Druid",G,"m21","193",common,g,"Not Owned",Non-foil,false,,"","Wisdom","",81613,
"Beast Whisperer",4,"Creature - Elf Druid",G,"c20","167",rare,g,"Not Owned",Non-foil,false,,"","Wisdom","",,
"Burlfist Oak",4,"Creature - Treefolk",G,"m21","174",uncommon,g,"Not Owned",Non-foil,false,,"","Wisdom","",81575,
"Gnarled Sage",5,"Creature - Treefolk Druid",G,"m21","187",common,g,"Not Owned",Non-foil,false,,"","Wisdom","",81601,
"Warden of the Woods",6,"Creature - Treefolk",G,"m21","213",uncommon,g,"Not Owned",Non-foil,false,,"","Wisdom","",81653,
"Pelakka Wurm",7,"Creature - Wurm",G,"mm2","154",uncommon,g,"Not Owned",Non-foil,false,,"","Wisdom","",57198,
"Aggressive Urge",2,"Instant",G,"10e","250",common,g,"Not Owned",Non-foil,false,,"","Wisdom","",27360,
"Broken Wings",3,"Instant",G,"znr","181",common,g,"Not Owned",Non-foil,false,,"","Wisdom","",83347,
"Hunter's Edge",4,"Sorcery",G,"m21","189",common,g,"Not Owned",Non-foil,false,,"","Wisdom","",81605,
"Thriving Grove",0,"Land",G,"jmp","34",common,l,"Not Owned",Non-foil,false,,"","Wisdom","",,
"Cloudkin Seer",3,"Creature - Elemental Wizard",U,"m20","54",common,u,"Not Owned",Non-foil,false,,"","Wizards","",73007,
"Sigil Tracer",3,"Creature - Merfolk Wizard",U,"mor","49",rare,u,"Not Owned",Non-foil,false,,"","Wizards","",28964,
"Windrider Wizard",3,"Creature - Human Wizard",U,"znr","87",uncommon,u,"Not Owned",Non-foil,false,,"","Wizards","",83133,
"Expedition Diviner",4,"Creature - Merfolk Wizard",U,"znr","57",common,u,"Not Owned",Non-foil,false,,"","Wizards","",83063,
"Naru Meha, Master Wizard",4,"Legendary Creature - Human Wizard",U,"dom","59",mythic,u,"Not Owned",Non-foil,false,,"","Wizards","",67583,
"Academy Journeymage",5,"Creature - Human Wizard",U,"dom","41",common,u,"Not Owned",Non-foil,false,,"","Wizards","",67547,
"Pondering Mage",5,"Creature - Human Wizard",U,"mh1","63",common,u,"Not Owned",Non-foil,false,,"","Wizards","",72498,
"Opt",1,"Instant",U,"dom","60",common,u,"Not Owned",Non-foil,false,,"","Wizards","",67585,
"Stream of Unconsciousness",1,"Tribal Instant - Wizard",U,"mor","52",common,u,"Not Owned",Non-foil,false,,"","Wizards","",29072,
"Sage's Dousing",3,"Tribal Instant - Wizard",U,"mor","48",uncommon,u,"Not Owned",Non-foil,false,,"","Wizards","",29148,
"Wizard's Retort",3,"Instant",U,"jmp","198",uncommon,u,"Not Owned",Non-foil,false,,"","Wizards","",,
"Relic Amulet",2,"Artifact",,"znr","247",uncommon,c,"Not Owned",Non-foil,false,,"","Wizards","",83489,
"Thriving Isle",0,"Land",U,"jmp","36",common,l,"Not Owned",Non-foil,false,,"","Wizards","",,
"Young Wolf",1,"Creature - Wolf",G,"dka","134",common,g,"Not Owned",Non-foil,false,,"","Wolfpack","",43457,
"Darkthicket Wolf",2,"Creature - Wolf",G,"isd","175",common,g,"Not Owned",Non-foil,false,,"","Wolfpack","",42666,
"Ferocious Pup",3,"Creature - Wolf",G,"m20","171",common,g,"Not Owned",Non-foil,false,,"","Wolfpack","",73241,
"Briarpack Alpha",4,"Creature - Wolf",G,"m14","166",uncommon,g,"Not Owned",Non-foil,false,,"","Wolfpack","",49317,
"Nightpack Ambusher",4,"Creature - Wolf",G,"m20","185",rare,g,"Not Owned",Non-foil,false,,"","Wolfpack","",73269,
"Somberwald Alpha",4,"Creature - Wolf",G,"ori","198",uncommon,g,"Not Owned",Non-foil,false,,"","Wolfpack","",58072,
"Skalla Wolf",5,"Creature - Wolf Spirit",G,"m19","303",rare,g,"Not Owned",Non-foil,false,,"","Wolfpack","",68139,
"Titanic Growth",2,"Instant",G,"m20","343",common,g,"Not Owned",Non-foil,false,,"","Wolfpack","",73603,
"Hunter's Insight",3,"Instant",G,"c20","178",uncommon,g,"Not Owned",Non-foil,false,,"","Wolfpack","",,
"Nature's Way",2,"Sorcery",G,"ddu","20",uncommon,g,"Not Owned",Non-foil,false,,"","Wolfpack","",,
"Wolfwillow Haven",2,"Enchantment - Aura",G,"thb","205",uncommon,g,"Not Owned",Non-foil,false,,"","Wolfpack","",79534,
"Raised by Wolves",5,"Enchantment - Aura",G,"bng","135",uncommon,g,"Not Owned",Non-foil,false,,"","Wolfpack","",51699,
"Thriving Grove",0,"Land",G,"jmp","34",common,l,"Not Owned",Non-foil,false,,"","Wolfpack","",,
